stim_fname,target_fname,condition
./combined_stims/mturk/wav/list3_dg15_159_highmid.wav,a_dg15_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg16_160_highmid.wav,a_dg16_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg09_161_highmid.wav,a_dg09_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg10_162_highmid.wav,a_dg10_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg11_163_highmid.wav,a_dg11_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg12_164_highmid.wav,a_dg12_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg13_165_highmid.wav,a_dg13_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg14_166_highmid.wav,a_dg14_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg15_167_highmid.wav,a_dg15_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg16_168_highmid.wav,a_dg16_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg09_169_midhigh.wav,a_dg09_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg10_170_midhigh.wav,a_dg10_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg11_171_midhigh.wav,a_dg11_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg12_172_midhigh.wav,a_dg12_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg13_173_midhigh.wav,a_dg13_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg14_174_midhigh.wav,a_dg14_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg15_175_midhigh.wav,a_dg15_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg16_176_midhigh.wav,a_dg16_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg09_177_midhigh.wav,a_dg09_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg10_178_midhigh.wav,a_dg10_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg11_179_midhigh.wav,a_dg11_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg12_180_midhigh.wav,a_dg12_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg13_181_midhigh.wav,a_dg13_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg14_182_midhigh.wav,a_dg14_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg15_183_midhigh.wav,a_dg15_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg16_184_midhigh.wav,a_dg16_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg09_185_midhigh.wav,a_dg09_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg10_186_midhigh.wav,a_dg10_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg11_187_midhigh.wav,a_dg11_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg12_188_midhigh.wav,a_dg12_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg13_189_midhigh.wav,a_dg13_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg14_190_midhigh.wav,a_dg14_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg15_191_midhigh.wav,a_dg15_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg16_192_midhigh.wav,a_dg16_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg09_193_midhigh.wav,a_dg09_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg10_194_midhigh.wav,a_dg10_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg11_195_midhigh.wav,a_dg11_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg12_196_midhigh.wav,a_dg12_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg13_197_midhigh.wav,a_dg13_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg14_198_midhigh.wav,a_dg14_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg15_199_midhigh.wav,a_dg15_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg16_200_midhigh.wav,a_dg16_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg09_201_midhigh.wav,a_dg09_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg10_202_midhigh.wav,a_dg10_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg11_203_midhigh.wav,a_dg11_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg12_204_midhigh.wav,a_dg12_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg13_205_midhigh.wav,a_dg13_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg14_206_midhigh.wav,a_dg14_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg15_207_midhigh.wav,a_dg15_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg16_208_midhigh.wav,a_dg16_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg09_209_midhigh.wav,a_dg09_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg10_210_midhigh.wav,a_dg10_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg11_211_midhigh.wav,a_dg11_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg12_212_midhigh.wav,a_dg12_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg13_213_midhigh.wav,a_dg13_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg14_214_midhigh.wav,a_dg14_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg15_215_midhigh.wav,a_dg15_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg16_216_midhigh.wav,a_dg16_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg09_217_midhigh.wav,a_dg09_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg10_218_midhigh.wav,a_dg10_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg11_219_midhigh.wav,a_dg11_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg12_220_midhigh.wav,a_dg12_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg13_221_midhigh.wav,a_dg13_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg14_222_midhigh.wav,a_dg14_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg15_223_midhigh.wav,a_dg15_CV.wav,midhigh
./combined_stims/mturk/wav/list3_dg16_224_midhigh.wav,a_dg16_CV.wav,midhigh
